Combo,LightGBM,CatBoost,XGBoost,LOI
1,6.570560348,5.683032371,5.164853683,"(10, 9, 8, 7, 6)"
2,6.353337441,5.908032371,5.079256381,"(10, 9, 8, 6, 7)"
3,6.562783254,5.640064039,5.389853683,"(10, 9, 7, 8, 6)"
4,6.128337441,6.090064039,5.21865908,"(10, 9, 7, 6, 8)"
5,6.337783254,5.822095707,5.529256381,"(10, 9, 6, 8, 7)"
6,6.120560348,6.047095707,5.44365908,"(10, 9, 6, 7, 8)"
7,6.795560348,5.501000703,4.970027295,"(10, 8, 9, 7, 6)"
8,6.578337441,5.726000703,4.884429994,"(10, 8, 9, 6, 7)"
9,6.780006161,5.415064039,5.420027295,"(10, 8, 7, 9, 6)"
10,6.128337441,6.090064039,5.163235391,"(10, 8, 7, 6, 9)"
11,6.555006161,5.597095707,5.559429994,"(10, 8, 6, 9, 7)"
12,6.120560348,6.047095707,5.388235391,"(10, 8, 6, 7, 9)"
13,7.012783254,5.276000703,5.000200907,"(10, 7, 9, 8, 6)"
14,6.578337441,5.726000703,4.829006305,"(10, 7, 9, 6, 8)"
15,7.005006161,5.233032371,5.225200907,"(10, 7, 8, 9, 6)"
16,6.353337441,5.908032371,4.968409003,"(10, 7, 8, 6, 9)"
17,6.555006161,5.597095707,5.504006305,"(10, 7, 6, 9, 8)"
18,6.337783254,5.822095707,5.418409003,"(10, 7, 6, 8, 9)"
19,7.012783254,5.276000703,4.944777218,"(10, 6, 9, 8, 7)"
20,6.795560348,5.501000703,4.859179917,"(10, 6, 9, 7, 8)"
21,7.005006161,5.233032371,5.169777218,"(10, 6, 8, 9, 7)"
22,6.570560348,5.683032371,4.998582615,"(10, 6, 8, 7, 9)"
23,6.780006161,5.415064039,5.309179917,"(10, 6, 7, 9, 8)"
24,6.562783254,5.640064039,5.223582615,"(10, 6, 7, 8, 9)"
25,6.345560348,5.8116038,5.35968007,"(9, 10, 8, 7, 6)"
26,6.128337441,6.0366038,5.274082769,"(9, 10, 8, 6, 7)"
27,6.337783254,5.768635467,5.58468007,"(9, 10, 7, 8, 6)"
28,5.903337441,6.218635467,5.413485468,"(9, 10, 7, 6, 8)"
29,6.112783254,5.950667135,5.724082769,"(9, 10, 6, 8, 7)"
30,5.895560348,6.175667135,5.638485468,"(9, 10, 6, 7, 8)"
31,6.795560348,5.447540464,4.970027295,"(9, 8, 10, 7, 6)"
32,6.578337441,5.672540464,4.884429994,"(9, 8, 10, 6, 7)"
33,6.772229068,5.318635467,5.645027295,"(9, 8, 7, 10, 6)"
34,5.903337441,6.218635467,5.30263809,"(9, 8, 7, 6, 10)"
35,6.547229068,5.500667135,5.784429994,"(9, 8, 6, 10, 7)"
36,5.895560348,6.175667135,5.52763809,"(9, 8, 6, 7, 10)"
37,7.012783254,5.222540464,5.000200907,"(9, 7, 10, 8, 6)"
38,6.578337441,5.672540464,4.829006305,"(9, 7, 10, 6, 8)"
39,6.997229068,5.1366038,5.450200907,"(9, 7, 8, 10, 6)"
40,6.128337441,6.0366038,5.107811702,"(9, 7, 8, 6, 10)"
